Transaction ID,Source,Channel,Region,Transaction_revenue
#7591,(direct),Direct,Alberta,$329.27
#7408,google,Organic Search,Idaho,$326.75
#7868,(direct),Direct,New York,$326.75
#8048,google,Organic Search,Florida,$326.75
#8511,google,Organic Search,California,$326.75
#6683,google,Organic Search,Wisconsin,$321.44
#7634,mail.google.com,Referral,British Columbia,$321.30
#8252,weddingforward.com,Referral,Nebraska,$321.30
#6585,google,Organic Search,Georgia,$318.78
#6875,google,Paid Search,Michigan,$318.78
#7029,Facebook,Social,District of Columbia,$318.78
#7180,(direct),Direct,Texas,$318.78
#7892,google,Organic Search,Ontario,$318.78
#8798,linktr.ee,Referral,Massachusetts,$318.78
#8950,google,Organic Search,Oregon,$318.78
#7351,google,Organic Search,Wisconsin,$318.65
#7461,google,Organic Search,Rhode Island,$316.12
#7489,google,Organic Search,Florida,$316.12
#7170,google,Organic Search,New Jersey,$315.86
#7723,google,Organic Search,California,$315.19
#7928,google,Organic Search,Ontario,$315.19
#5736,google,Organic Search,District of Columbia,$313.47
#7341,Master,Email,New Hampshire,$313.47
#8131,l.instagram.com,Social,Texas,$313.47
#8455,weddingforward.com,Referral,California,$313.47
#7676,l.instagram.com,Social,Virginia,$308.15
#7734,google,Organic Search,New Jersey,$308.15
#8468,google,Paid Search,Massachusetts,$308.15
#8995,google,Paid Search,Georgia,$308.15
#7796,google,Organic Search,Texas,$302.84
#7221,(direct),Direct,Colorado,$302.04
#7935,google,Organic Search,Illinois,$300.18
#6650,google,Organic Search,Georgia,$297.53
#8318,(direct),Direct,Mississippi,$297.53
#8626,google,Organic Search,Florida,$297.53
#8639,google,Organic Search,Florida,$297.53
#8960,google,Organic Search,San Juan,$297.53
#7048,google,Organic Search,California,$294.87
#6809,google,Organic Search,District of Columbia,$292.21
#7160,google,Organic Search,Ohio,$292.21
#7175,google,Organic Search,New York,$292.21
#7237,google,Organic Search,New York,$292.21
#7716,pinterest.com,Social,Arkansas,$292.21
#7720,l.instagram.com,Social,Mississippi,$292.21
#7961,google,Organic Search,Colorado,$292.21
#8657,google,Organic Search,New York,$292.21
#1590,www-pinterest-com.cdn.ampproject.org,Referral,California,$286.90
#6892,google,Organic Search,New York,$286.90
#6965,(direct),Direct,Georgia,$286.90
#7652,google,Organic Search,Connecticut,$286.90
#7760,l.instagram.com,Social,Texas,$286.90
#8120,google,Organic Search,Missouri,$286.90
#8144,google,Organic Search,Georgia,$286.90
#8913,google,Organic Search,California,$286.90
#8379,google,Organic Search,Illinois,$286.24
#1954,(direct),Direct,Minnesota,$284.25
#8617,google,Organic Search,Texas,$284.11
#7499,google,Organic Search,Ontario,$281.59
#7962,google,Organic Search,Centre-Val de Loire,$281.59
#8590,google,Organic Search,North Carolina,$281.59
#8520,(direct),Direct,Massachusetts,$281.32
#6922,google,Organic Search,Virginia,$276.28
#7012,google,Organic Search,Virginia,$276.28
#7234,google,Organic Search,Florida,$276.28
#7282,google,Organic Search,Massachusetts,$276.28
#7348,l.facebook.com,Social,California,$276.28
#7614,google,Organic Search,Texas,$276.28
#8054,google,Organic Search,Oslo,$276.28
#7040,google,Organic Search,St. Gallen,$273.62
#8014,Master,Email,New York,$273.62
#8254,Master,Email,Minnesota,$273.62
#6921,google,Organic Search,Massachusetts,$270.96
#7847,google,Organic Search,Washington,$270.96
#9047,google,Organic Search,Illinois,$270.64
#8839,google,Organic Search,Louisiana,$270.03
#6621,(direct),Direct,Georgia,$268.31
#7817,Master,Email,Kansas,$268.31
#1040,pinterest.com,Social,Manitoba,$265.65
#6512,(direct),Direct,Tennessee,$265.65
#6675,(direct),Direct,Florida,$265.65
#6787,google,Organic Search,Missouri,$265.65
#6886,google,Organic Search,California,$265.65
#7554,google,Organic Search,Minnesota,$265.65
#7579,google,Organic Search,Massachusetts,$262.99
#1114,pinterest.com,Social,California,$260.34
#5576,(direct),Direct,Massachusetts,$260.34
#6141,(direct),Direct,Victoria,$257.68
#8773,google,Organic Search,Texas,$257.68
#1988,pinterest.com,Social,Massachusetts,$255.02
#8880,google,Organic Search,Minnesota,$255.02
#6985,google,Organic Search,Virginia,$249.71
#7213,google,Organic Search,California,$249.71
#7338,google,Organic Search,Maryland,$249.71
#8763,knoji.com,Referral,Arkansas,$249.71
#6898,(direct),Direct,Georgia,$244.40
#7839,google,Organic Search,California,$244.40
#7880,(direct),Direct,Texas,$244.40
#6735,pinterest.com,Social,Texas,$241.74
#2216,google,Organic Search,Louisiana,$239.08
#7236,(direct),Direct,New Jersey,$239.08
#7438,google,Organic Search,New York,$239.08
#7680,google,Organic Search,(not set),$239.08
#8059,google,Organic Search,California,$236.43
#7121,google,Organic Search,Michigan,$233.77
#8180,google,Organic Search,Georgia,$233.77
#6629,(direct),Direct,New Jersey,$231.12
#8805,(direct),Direct,Victoria,$228.46
#8103,pinterest.com,Social,Oregon,$225.80
#8386,bing,Organic Search,Texas,$225.80
#8163,google,Organic Search,Oregon,$225.14
#8504,google,Organic Search,Massachusetts,$224.34
#8044,google,Organic Search,New York,$223.15
#8215,google,Organic Search,California,$223.15
#8563,google,Organic Search,New South Wales,$223.15
#8619,(direct),Direct,New York,$223.15
#6939,checkout.shopifycs.com,Referral,Nevada,$220.49
#8652,google,Organic Search,California,$220.49
#8961,google,Organic Search,Washington,$220.49
#4238,(direct),Direct,North Carolina,$220.36
#7651,google,Organic Search,New York,$217.83
#8765,google,Organic Search,Florida,$217.70
#8153,google,Organic Search,Florida,$215.18
#8097,l.instagram.com,Social,New Mexico,$215.04
#9049,(direct),Direct,Tennessee,$215.04
#1039,pinterest.com,Social,New York,$212.52
#1197,google,Organic Search,Colorado,$212.52
#5214,google,Organic Search,Texas,$212.52
#6554,(direct),Direct,North Carolina,$212.52
#6760,google,Organic Search,New York,$212.52
#6877,google,Organic Search,New York,$212.52
#7084,google,Paid Search,Utah,$212.52
#7330,outlook.live.com,Referral,California,$212.52
#7387,google,Organic Search,Rhode Island,$212.52
#8173,google,Organic Search,Florida,$212.52
#8310,google,Organic Search,New Jersey,$212.52
#8565,(direct),Direct,Michigan,$212.52
#8799,google,Organic Search,California,$212.52
#7531,google,Organic Search,California,$211.99
#7710,google,Organic Search,New York,$211.99
#7079,(direct),Direct,New York,$209.86
#8114,google,Organic Search,Kansas,$209.86
#8672,google,Organic Search,Texas,$209.86
#9002,google,Organic Search,(not set),$209.73
#2839,(direct),Direct,Mississippi,$207.21
#4077,google,Organic Search,Illinois,$207.21
#6050,(direct),Direct,District of Columbia,$207.21
#6914,google,Organic Search,Indiana,$207.21
#7409,(direct),Direct,Virginia,$207.21
#8764,pay.shopify.com,Referral,Illinois,$204.55
#6667,google,Organic Search,Texas,$201.89
#6908,google,Organic Search,Texas,$201.89
#8628,google,Organic Search,Geneva,$201.89
#9046,google,Organic Search,South Dakota,$201.76
#7743,google,Organic Search,Indiana,$199.24
#1140,pinterest.com,Social,California,$196.58
#8288,google,Organic Search,Massachusetts,$196.58
#9028,(direct),Direct,Tennessee,$196.58
#1224,(direct),Direct,British Columbia,$193.92
#7560,google,Organic Search,Texas,$193.92
#8062,(direct),Direct,Ontario,$193.92
1.21246E+11,google,Organic Search,New York,$193.92
#1472,(direct),Direct,Oklahoma,$191.27
#2268,(direct),Direct,New Jersey,$191.27
#3121,(direct),Direct,California,$191.27
#7547,yahoo,Organic Search,New York,$191.27
#7615,google,Organic Search,Washington,$191.27
#7709,google,Organic Search,New York,$191.27
#8018,google,Organic Search,New York,$191.27
#8107,google,Organic Search,Pennsylvania,$191.27
#8172,instagram.com,Social,Florida,$191.27
#8239,google,Organic Search,Florida,$191.27
#8325,(direct),Direct,Kentucky,$191.27
#8355,google,Paid Search,California,$191.27
#8359,google,Organic Search,North Carolina,$191.27
#8636,pinterest.com,Social,New York,$191.27
#8692,lifewithemilyblog.com,Referral,Texas,$191.27
#8729,google,Organic Search,Mississippi,$191.27
#8859,google,Organic Search,California,$191.27
#8990,google,Organic Search,North Carolina,$191.27
#9009,google,Organic Search,New Jersey,$191.27
#8791,(direct),Direct,Maryland,$190.74
#8112,google,Organic Search,Texas,$188.61
#6543,google,Organic Search,Kentucky,$188.48
#6826,google,Organic Search,Missouri,$185.95
#7417,bing,Organic Search,Montana,$185.95
#7874,google,Organic Search,Illinois,$185.95
#8192,google,Organic Search,Victoria,$185.95
#8232,google,Organic Search,Ontario,$185.95
#9015,google,Organic Search,Florida,$185.95
#8551,mail.google.com,Referral,Texas,$185.42
#8410,google,Organic Search,Illinois,$183.30
#8897,(direct),Direct,Texas,$183.30
#7027,google,Organic Search,New York,$181.97
#6827,google,Organic Search,Georgia,$180.64
#7129,google,Organic Search,Massachusetts,$180.64
#7340,google,Organic Search,North Carolina,$180.64
#7599,pinterest.com,Social,New York,$180.64
#7843,l.instagram.com,Social,(not set),$180.64
#3530,Master,Email,Washington,$180.51
#7218,google,Organic Search,California,$180.51
#7053,pinterest.com,Social,California,$177.99
#7140,google,Organic Search,Illinois,$177.99
#1098,pinterest.com,Social,Minnesota,$175.33
#4382,(direct),Direct,Texas,$175.33
#6500,google,Organic Search,North Carolina,$175.33
#7112,google,Organic Search,Texas,$175.33
#7537,google,Organic Search,Minnesota,$175.33
#6860,google,Paid Search,Pennsylvania,$172.67
#6883,google,Organic Search,Colorado,$172.67
#7009,google,Organic Search,California,$172.67
#7014,google,Organic Search,New York,$172.67
#1874,pinterest.com,Social,Zurich,$170.02
#4962,l.facebook.com,Social,Massachusetts,$170.02
#6717,Facebook,Social,North Carolina,$170.02
#7987,google,Organic Search,New York,$170.02
#8203,google,Organic Search,Basel City,$170.02
#7841,google,Organic Search,Minnesota,$169.88
#2654,google,Organic Search,New York,$167.36
#7138,themillennialmiss.com,Referral,South Carolina,$167.36
#7692,google,Organic Search,California,$167.36
#7697,google,Organic Search,California,$167.36
#9059,google,Paid Search,Nebraska,$164.70
#3157,google,Organic Search,Washington,$162.05
#6518,(direct),Direct,North Carolina,$162.05
#6523,google,Organic Search,New York,$162.05
#7797,bing,Organic Search,Michigan,$162.05
#4783,google,Organic Search,Texas,$159.39
#6521,google,Organic Search,Saskatchewan,$159.39
#6935,google,Organic Search,Virginia,$159.39
#6955,google,Organic Search,Arizona,$159.39
#7395,(direct),Direct,Oklahoma,$159.39
#7748,l.instagram.com,Social,Illinois,$159.39
#7803,(direct),Direct,California,$159.39
#7904,google,Organic Search,California,$159.39
#7958,google,Organic Search,North Carolina,$159.39
#8129,google,Organic Search,North Carolina,$159.39
#8132,google,Organic Search,Texas,$159.39
#8529,pay.shopify.com,Referral,New York,$159.39
#8647,google,Organic Search,North Carolina,$159.39
#9071,(direct),Direct,Illinois,$159.39
#6945,google,Organic Search,Virginia,$154.08
#7066,google,Organic Search,New York,$154.08
#7269,google,Organic Search,North Carolina,$154.08
#7721,google,Organic Search,Connecticut,$154.08
#7778,pinterest.ca,Social,British Columbia,$154.08
#8259,google,Paid Search,California,$154.08
#8700,google,Paid Search,Florida,$154.08
#8946,linktr.ee,Referral,New York,$154.08
#8856,google,Organic Search,Ontario,$151.42
#8930,(direct),Direct,California,$151.42
#1108,google,Organic Search,Stockholm County,$148.76
#4057,l.instagram.com,Social,New York,$148.76
#6919,google,Organic Search,California,$148.76
#7386,google,Organic Search,Rhode Island,$148.76
#7427,google,Organic Search,Missouri,$148.76
#7637,google,Organic Search,New York,$148.76
#8217,google,Organic Search,Texas,$148.76
#8236,google,Organic Search,Florida,$148.76
#8319,google,Organic Search,Mississippi,$148.76
#8820,google,Organic Search,Massachusetts,$148.76
#8890,(direct),Direct,Kansas,$148.76
#3784,homeandgardenideas.com,Referral,Ohio,$148.10
#7619,Master,Email,Kansas,$146.11
#7677,google,Organic Search,New York,$146.11
#7715,google,Organic Search,Abu Dhabi,$146.11
#8613,google,Paid Search,Illinois,$146.11
#8420,google,Organic Search,Indiana,$145.97
#8893,google,Organic Search,North Carolina,$145.97
#8654,us.search.yahoo.com,Referral,North Carolina,$144.78
#3582,google,Organic Search,Washington,$144.65
#1883,google,Organic Search,North Carolina,$143.45
#6888,(direct),Direct,New York,$143.45
#6937,google,Organic Search,Oregon,$143.45
#6962,google,Organic Search,Georgia,$143.45
#7178,google,Organic Search,Maryland,$143.45
#7204,(direct),Direct,Colorado,$143.45
#7469,(direct),Direct,California,$143.45
#7513,(direct),Direct,New York,$143.45
#7586,google,Organic Search,California,$143.45
#7823,google,Organic Search,North Carolina,$143.45
#7996,(direct),Direct,Massachusetts,$143.45
#8060,Pinterest,Social,Mexico City,$143.45
#8336,google,Paid Search,Florida,$143.45
#3770,google,Organic Search,Pennsylvania,$140.79
#8168,google,Organic Search,New York,$140.79
#8645,(direct),Direct,California,$140.79
#8710,(direct),Direct,District of Columbia,$140.79
#9063,google,Organic Search,Illinois,$140.79
#9090,google,Organic Search,Alabama,$140.79
#6857,Master,Email,Florida,$140.66
#1247,pinterest.com,Social,California,$138.14
#4732,google,Organic Search,California,$138.14
#6603,google,Organic Search,Illinois,$138.14
#6746,google,Organic Search,New York,$138.14
#6847,(direct),Direct,Indiana,$138.14
#6994,google,Organic Search,New York,$138.14
#7701,google,Organic Search,California,$138.14
#7758,google,Organic Search,New York,$138.14
#8015,google,Organic Search,Georgia,$138.14
#8556,outlook.live.com,Referral,Connecticut,$138.14
#8646,google,Organic Search,North Carolina,$138.14
#9107,google,Organic Search,Oregon,$138.14
#6952,google,Paid Search,New York,$135.48
#7367,google,Organic Search,Kentucky,$135.48
#1525,checkout.shopify.com,Referral,South Carolina,$132.82
#2026,pinterest.com,Social,Washington,$132.82
#2611,checkout.shopify.com,Referral,New York,$132.82
#6532,google,Organic Search,Florida,$132.82
#6687,pinterest.com,Social,Maryland,$132.82
#6714,google,Organic Search,Washington,$132.82
#6851,google,Paid Search,California,$132.82
#7231,(direct),Direct,California,$132.82
#8725,Master,Email,Texas,$132.82
#8830,google,Organic Search,Florida,$132.82
#8882,google,Organic Search,North Carolina,$132.82
#3013,google,Organic Search,Ohio,$130.17
#5452,google,Organic Search,Ontario,$130.17
#7250,Master,Email,Indiana,$130.17
#8533,Master,Email,Texas,$130.17
#8610,google,Organic Search,District of Columbia,$130.17
#1510,Master,Email,New York,$127.51
#4192,(direct),Direct,New York,$127.51
#4552,pinterest.com,Social,California,$127.51
#5794,google,Organic Search,Massachusetts,$127.51
#6533,google,Organic Search,Florida,$127.51
#6548,themillennialmiss.com,Referral,North Carolina,$127.51
#6608,google,Organic Search,California,$127.51
#6655,google,Organic Search,New Jersey,$127.51
#6870,google,Organic Search,Florida,$127.51
#6963,google,Organic Search,Texas,$127.51
#7006,(direct),Direct,California,$127.51
#7061,google,Organic Search,New York,$127.51
#7223,google,Organic Search,Colorado,$127.51
#7482,google,Organic Search,New York,$127.51
#7595,l.instagram.com,Social,Ohio,$127.51
#7781,pinterest.com,Social,New York,$127.51
#7788,google,Organic Search,Minnesota,$127.51
#8022,l.instagram.com,Social,Pennsylvania,$127.51
#8055,google,Organic Search,Mississippi,$127.51
#8170,l.instagram.com,Social,Washington,$127.51
#8313,google,Organic Search,New York,$127.51
#8637,google,Organic Search,Louisiana,$127.51
#8650,google,Organic Search,Alabama,$127.51
#8726,google,Organic Search,Ontario,$127.51
#8822,bing,Organic Search,Maryland,$127.51
#8866,google,Organic Search,New York,$127.51
#8998,google,Organic Search,Michigan,$127.51
#9066,google,Organic Search,Florida,$127.51
#7253,google,Organic Search,New York,$127.38
#6836,(direct),Direct,New York,$124.86
#8663,google,Organic Search,Florida,$124.86
#9019,google,Paid Search,California,$124.86
#6906,google,Organic Search,California,$122.20
#7362,google,Organic Search,California,$122.20
#7659,google,Organic Search,Massachusetts,$122.20
#7869,google,Organic Search,Pennsylvania,$122.20
#8282,google,Organic Search,Mississippi,$122.20
#9033,(direct),Direct,Ohio,$122.20
#5090,google,Organic Search,Pennsylvania,$119.54
#6516,google,Organic Search,Alabama,$119.54
#6517,google,Organic Search,California,$119.54
#6813,google,Organic Search,Missouri,$119.54
#7019,(direct),Direct,Saskatchewan,$119.54
#7583,(direct),Direct,Pennsylvania,$119.54
#7589,google,Organic Search,New Jersey,$119.54
#7925,pinterest.com,Social,Pennsylvania,$119.54
#8485,google,Organic Search,Michigan,$119.54
#8508,google,Organic Search,Louisiana,$119.54
#8564,Master,Email,North Carolina,$119.54
#8592,Master,Email,Kentucky,$119.54
#6513,(direct),Direct,California,$116.89
#7738,google,Organic Search,Wisconsin,$116.89
#8753,(direct),Direct,Florida,$116.89
#6816,google,Organic Search,Virginia,$114.23
#6835,(direct),Direct,California,$114.23
#7666,google,Organic Search,Virginia,$114.23
#8513,google,Paid Search,New York,$114.23
#8532,(direct),Direct,Arizona,$114.23
#7117,l.instagram.com,Social,Oregon,$114.10
#1780,Master,Email,California,$111.57
#3267,google,Organic Search,Connecticut,$111.57
#6605,google,Organic Search,California,$111.57
#7124,google,Organic Search,British Columbia,$111.57
#7453,(direct),Direct,Oklahoma,$111.57
#8145,google,Organic Search,New York,$111.57
#8344,(direct),Direct,New Jersey,$111.57
#8494,google,Organic Search,California,$111.57
#8523,google,Organic Search,Alberta,$111.57
#8979,google,Organic Search,Ontario,$111.57
#9010,(direct),Direct,New York,$111.57
#8308,google,Organic Search,Colorado,$108.92
#1079,google,Organic Search,Virginia,$106.26
#2876,(direct),Direct,Louisiana,$106.26
#3513,facebook.com,Social,Massachusetts,$106.26
#3516,google,Organic Search,Virginia,$106.26
#6751,Facebook,Social,Washington,$106.26
#6758,google,Organic Search,Georgia,$106.26
#6941,google,Organic Search,California,$106.26
#7073,Master,Email,Florida,$106.26
#7277,(direct),Direct,California,$106.26
#7658,google,Organic Search,Michigan,$106.26
#7807,(direct),Direct,California,$106.26
#7833,google,Organic Search,New Hampshire,$106.26
#7908,pinterest.com,Social,New Jersey,$106.26
#8154,google,Organic Search,Michigan,$106.26
#8164,google,Organic Search,California,$106.26
#8385,google,Organic Search,Oklahoma,$106.26
#8927,pinterest.com,Social,Florida,$106.26
#2295,google,Organic Search,New Jersey,$105.20
#8143,google,Organic Search,Maryland,$103.60
#8421,google,Organic Search,Texas,$103.60
#6721,google,Organic Search,Texas,$100.95
#7004,l.instagram.com,Social,Missouri,$100.95
#7123,google,Organic Search,Virginia,$100.95
#7380,google,Organic Search,New York,$100.95
#7484,google,Organic Search,California,$100.95
#7948,pinterest.com,Social,New York,$100.95
#7995,google,Organic Search,Florida,$100.95
#8085,google,Organic Search,Maryland,$100.95
#8101,google,Organic Search,Texas,$100.95
#8689,Facebook,Social,Massachusetts,$100.95
#8715,pinterest,Paid Search,California,$100.95
#8783,google,Organic Search,Texas,$100.95
#8803,google,Paid Search,Texas,$100.95
#8940,(direct),Direct,New York,$100.95
#8968,(direct),Direct,New York,$100.95
#9072,esc,Email,Texas,$100.95
#9126,facebook.com,Social,Texas,$100.95
#3580,google,Organic Search,New York,$98.29
#7795,google,Organic Search,Louisiana,$98.29
#8006,google,Organic Search,California,$98.29
#8536,google,Organic Search,New York,$98.29
#9068,linktr.ee,Referral,Florida,$98.29
#9111,google,Organic Search,Texas,$98.29
#6936,Master,Email,Florida,$98.16
#2919,(direct),Direct,New Jersey,$95.63
#3358,(direct),Direct,Virginia,$95.63
#5075,google,Organic Search,New York,$95.63
#6515,google,Organic Search,Texas,$95.63
#6541,google,Organic Search,Virginia,$95.63
#6947,google,Organic Search,North Carolina,$95.63
#7159,google,Organic Search,Texas,$95.63
#7248,yahoo,Organic Search,California,$95.63
#7607,Master,Email,Massachusetts,$95.63
#7647,google,Organic Search,New York,$95.63
#7674,google,Organic Search,Kansas,$95.63
#7827,google,Organic Search,California,$95.63
#7840,Master,Email,Illinois,$95.63
#7866,google,Organic Search,Michigan,$95.63
#7975,google,Organic Search,Missouri,$95.63
#8285,google,Organic Search,Florida,$95.63
#8350,google,Organic Search,New York,$95.63
#8360,google,Organic Search,Virginia,$95.63
#8467,google,Organic Search,Florida,$95.63
#8655,google,Organic Search,Florida,$95.63
#8656,pinterest.com,Social,Georgia,$95.63
#8694,google,Organic Search,British Columbia,$95.63
#8886,google,Organic Search,South Carolina,$95.63
#8274,google,Organic Search,Georgia,$94.84
#7311,pinterest.com,Social,New York,$92.98
#7718,google,Organic Search,New York,$92.98
#8808,Master,Email,Rhode Island,$92.98
#7244,google,Organic Search,North Carolina,$92.84
#1331,google,Organic Search,New York,$90.32
#6478,google,Organic Search,New York,$90.32
#6708,google,Organic Search,Nebraska,$90.32
#6724,instagram.com,Social,Texas,$90.32
#7404,pinterest.com,Social,Virginia,$90.32
#7458,google,Organic Search,Massachusetts,$90.32
#7943,google,Organic Search,California,$90.32
#7952,google,Organic Search,Texas,$90.32
#8030,google,Organic Search,California,$90.32
#8412,(direct),Direct,Texas,$90.32
#8678,google,Organic Search,Ontario,$90.32
#8964,bing,Organic Search,Georgia,$90.32
#7769,(direct),Direct,California,$90.06
#7820,(direct),Direct,Berlin,$90.06
#1781,Master,Email,Georgia,$87.66
#1038,(direct),Direct,Missouri,$85.01
#3190,google,Organic Search,Washington,$85.01
