Product SKU,Transaction ID,Product,Source,City,Product Revenue,Quantity
TAN800-FSTR-M,#7111,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,(direct),Anchorage,$262.34,13
TAN800-FSTR-M,#7471,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,(direct),Albany,$262.34,13
TEE1000-BB-M,#8861,Bride's Babes Tees - Bride's Babes (Peach) / M,pinterest.com,Nashville,$262.34,10
KOZ100-BEAC,#3428,Aloha Bride | Aloha Beaches Koozies - Aloha Beaches (Black Koozie),(direct),Wilmington,$259.71,52
HAI1700,#8950,Fluffy Pom-Pom Bachelorette Beanies - Black (Babe),google,Wilsonville,$251.84,10
TUM700,#7645,Pink Ombre Confetti Tumbler,google,Manlius,$251.84,21
TAN500-JD-BLACK-S,#7221,Drunk in Love Tanks - Just Drunk (Black Tank) / S,(direct),Denver,$248.56,13
TAN200-BEAC-XL,#6531,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) / XL,Master,Camrose,$240.83,10
SUN500-LTPINK,#8254,Heart Sunnies - Light Pink,Master,Minneapolis,$236.10,39
TUM200,#7236,Blush Ombre Confetti Tumbler,(direct),Jersey City,$236.10,24
TUM200,#7347,Blush Ombre Confetti Tumbler,(direct),San Francisco,$236.10,24
TUM200,#7438,Blush Ombre Confetti Tumbler,google,New York,$236.10,24
TUM700,#6873,Pink Ombre Confetti Tumbler,google,New York,$236.10,24
SUN800-PINKGREY,#7262,Retro Heart Sunnies - Light Pink (Classic Lenses),google,Encinitas,$230.86,29
TAN1000-DRI-M,#8854,Sun & Sand Tanks - Sun Sand & A Drink In My Hand (Peach) / M,google,Philadelphia,$230.86,10
TAN1000-MER-M,#8969,You Had Me At Merlot Tanks - You Had Me At Merlot (Mauve) / M,Master,Houston,$230.86,10
TAN600-JD-MINT-S,#8426,Drunk in Love Tanks - Just Drunk (Mint) / S,google,Union Park,$222.33,13
PIN100,#3573,Bride Tribe Pins Party Pack (Set of 12),google,Denver,$220.36,5
PIN100,#3698,Bride Tribe Pins Party Pack (Set of 12),l.instagram.com,Concord,$220.36,5
SUN500-LTPINK,#8063,Heart Sunnies - Light Pink,google,Washington,$220.36,37
TUM200,#8657,Blush Ombre Confetti Tumbler,google,New York,$220.36,18
TUM600,#8215,Mint Ombre Confetti Tumbler,google,San Diego,$220.36,18
1.20109E+11,#5576,Acrylic Confetti Wine Tumbler - Pineapples,(direct),Boston,$209.87,21
PLA900,#8995,Tropic Like It's Hot Snack Plates,google,Atlanta,$209.87,26
SUN800-PINKGREY,#7436,Retro Heart Sunnies - Light Pink (Classic Lenses),bing,Towson,$209.87,26
SUN800-PINKGREY,#7481,Retro Heart Sunnies - Light Pink (Classic Lenses),google,Avon Lake,$209.87,26
TAN300-BT-PINK-S,#3575,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Pink Tank) / M",Pinterest,Bensalem,$209.87,10
TAN400-BT-BLACK-M,#7098,Bride Tribe Tanks - Bride Tribe (Black Tank) / M,google,Santa Fe,$209.87,10
TAN700-CC-M,#7878,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,Master,San Francisco,$209.87,10
TAN700-CC-S,#8224,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,google,New York,$209.87,10
TAN800-FSTR-L,#7219,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / L,google,Sacramento,$209.87,10
TAN800-FSTR-M,#6762,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,(direct),Vincennes,$209.87,10
TAN800-FSTR-M,#6996,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,(direct),Charlotte,$209.87,10
TAN800-FSTR-S,#6805,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,google,Saint Louis Park,$209.87,10
TAN900-LTP-S,#7628,Mermaid Squad Tanks - Mermaid Squad (Light Purple) / S,google,Hong Kong,$209.87,10
TUM1200,1.18331E+11,Acrylic Confetti Wine Tumbler - Pink Ombre,google,Nashville,$209.87,21
BAN200,1.18331E+11,Pink Party Tissue Paper Tassel Garland,google,Nashville,$204.62,8
BAN300,1.18331E+11,Pink Champagne Tissue Paper Tassel Garland,google,Nashville,$204.62,8
SUN500-HTPINK,#7234,Heart Sunnies - Hot Pink,google,Bonita Springs,$204.62,34
SUN500-WHITE,#6914,Heart Sunnies - White,google,Sellersburg,$204.62,34
KOZ500-BT-BLACK,#7387,Bride Tribe Koozies - Black (Bride Tribe),google,South Kingstown,$199.38,50
TAN500-JD-BLACK-S,#7368,Drunk in Love Tanks - Just Drunk (Black Tank) / S,google,Louisville,$198.85,10
TAN600-JD-PINK-M,#8840,Drunk in Love Tanks - Just Drunk (Pink) / M,google,Austin,$196.10,13
30178733645,#2272,Bride & Bride Tribe Sunnies - Bride Tribe (Pink Frames),google,Green Cove Springs,$188.88,31
BAN4000,#8832,Mini Cactus Party Garland,google,Jackson,$188.88,16
SUN800-PINKGREY,#7839,Retro Heart Sunnies - Light Pink (Classic Lenses),google,Glendale,$188.88,24
SUN800-PINKGREY,#8565,Retro Heart Sunnies - Light Pink,(direct),Saint Clair Shores,$188.88,24
TUM200,#9009,Blush Ombre Confetti Tumbler,google,Fort Lee,$188.88,16
TUM600,#8135,Mint Ombre Confetti Tumbler,google,Signal Mountain,$188.88,16
TUM700,#8151,Pink Ombre Confetti Tumbler,google,Seattle,$188.88,16
TUM700,#8172,Pink Ombre Confetti Tumbler,instagram.com,Palatka,$188.88,16
TUM1200,#4945,Acrylic Confetti Wine Tumbler - Pink Ombre,(direct),New York,$183.64,18
TUM1300,#4945,Acrylic Confetti Wine Tumbler - Blush Ombre,(direct),New York,$183.64,18
TAN200-BEAC-S,#6531,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) / S,Master,Camrose,$180.62,8
TAN400-BT-BLACK-L,#8251,Bride Tribe Tanks - Bride Tribe (Black Tank) / L,(direct),Wilmington,$177.86,10
30423144589,#2268,Bride & Bride Tribe Sunnies - Bride Tribe (Black Frames),(direct),Middletown,$173.14,29
SUN200-WHITE,#4382,Heart Sunnies - White,(direct),Fort Worth,$173.14,29
SUN500-HTPINK,#7591,Heart Sunnies - Hot Pink,(direct),Calgary,$173.14,29
SUN500-LTPINK,#7547,Heart Sunnies - Light Pink,yahoo,Saratoga Springs,$173.14,29
TAN1000-MER-L,#8969,You Had Me At Merlot Tanks - You Had Me At Merlot (Mauve) / L,Master,Houston,$173.14,8
TAN700-CC-S,#9021,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,Sumo,Chicago,$173.14,8
SUN800-PINKGREY,#7499,Retro Heart Sunnies - Light Pink (Classic Lenses),google,Toronto,$167.90,21
SUN800-PINKGREY,#7709,Retro Heart Sunnies - Light Pink (Classic Lenses),google,New York,$167.90,21
TAT900,#8832,Gold Bachelorette Tattoos Mix Pack,google,Jackson,$167.90,5
1.20096E+11,#4945,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,(direct),New York,$157.40,16
30195400589,#1388,"Grey, Pink & Mint Bride Tribe Tanks - Bride Tribe (Pink Tank) / M",(direct),New York,$157.40,8
30195543373,#1148,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / S,google,Baywood-Los Osos,$157.40,8
30195543437,#1148,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / M,google,Baywood-Los Osos,$157.40,8
30195543437,#1163,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / M,google,Fullerton,$157.40,8
30195543501,#1148,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / L,google,Baywood-Los Osos,$157.40,8
BAN1300,#6958,Bride Tribe Tissue Paper Tassel Garland,google,Houston,$157.40,5
BAN1600,#7614,Pink Champagne Tassel Garland,google,Houston,$157.40,5
BAN1700,#8539,Pink Party Tassel Garland,google,Denton,$157.40,5
BAN1800,#7048,Rainbow Sherbet Tissue Paper Tassel Garland,google,Los Angeles,$157.40,5
BAN1800,#8059,Rainbow Sherbet Tassel Garland,google,San Francisco,$157.40,5
BAN2300,#7128,Final Fiesta Tissue Paper Tassel Garland,google,New Canaan,$157.40,5
BAN2900,#7219,Cactus Party Tissue Paper Tassel Garland,google,Sacramento,$157.40,5
BAN3900,#8873,Wine & Blush Tassel Garland,pinterest.com,Portland,$157.40,5
FTB600,#8070,Bride To Be Booty Veil,(direct),Falls Church,$157.40,5
NAP2000,#6853,This Se̱orita Needs a Margarita Napkins,l.instagram.com,Los Angeles,$157.40,26
PIN400,#8626,Wine Pins Party Pack,google,Davie,$157.40,5
SUN200-BRI-WHITE,#7237,Bride Tribe Sunnies - Bride,google,New York,$157.40,26
SUN500-BT-BLACK,#5432,Bride & Bride Tribe Sunnies - Bride Tribe (Black Frames),(direct),Austin,$157.40,26
SUN500-HTPINK,#8647,Heart Sunnies - Hot Pink,google,Raleigh,$157.40,26
TAN1100-LL-S,#8430,Lake Life Tanks - Lake Life (Teal) / S,(direct),Denver,$157.40,8
TAN400-BT-BLACK-M,#4275,Black & White Bride Tribe Tanks - Bride Tribe (Black Tank) / M,pinterest.com,San Luis Obispo,$157.40,8
TAN400-BT-BLACK-M,#7325,Bride Tribe Tanks - Bride Tribe (Black Tank) / M,Master,Dubai,$157.40,8
TAN400-BT-BLACK-S,#6875,Bride Tribe Tanks - Bride Tribe (Black Tank) / S,google,Grand Rapids,$157.40,8
TAN400-BT-BLACK-XXL,#6578,Bride Tribe Tanks - Bride Tribe (Black Tank) / XXL,google,Charlottetown,$157.40,8
TAN700-CC-L,#7247,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / L,google,Charlotte,$157.40,8
TAN700-CC-M,#7183,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / M,google,Memphis,$157.40,8
TAN700-CC-S,#6873,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,google,New York,$157.40,8
TAN700-CC-S,#8228,Champagne Campaign Tanks - Champagne Campaign (Heather Black) / S,google,Louisville,$157.40,8
TAN800-FSTR-L,#6783,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / L,(direct),Atlanta,$157.40,8
TAN800-FSTR-L,#7111,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / L,(direct),Anchorage,$157.40,8
TAN800-FSTR-M,#6554,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,(direct),Marvin,$157.40,8
TAN800-FSTR-M,#7401,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / M,google,Centreville,$157.40,8
TAN800-FSTR-S,#6512,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,(direct),Nashville,$157.40,8
TAN800-FSTR-S,#7516,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Guests) / S,google,Bloomfield,$157.40,8
TAN900-LTP-L,#7413,Mermaid Squad Tanks - Mermaid Squad (Light Purple) / L,(direct),Prairie Village,$157.40,8
TUM1100,1.18331E+11,Bachelorette Bash Acrylic Wine Tumbler,google,Nashville,$157.40,16
TUM200,#2839,Pink & Green Pineapple Tumbler with Straw,(direct),Hattiesburg,$157.40,13
TUM200,#6585,Blush Ombre Confetti Tumbler,google,Atlanta,$157.40,16
TUM200,#7085,Blush Ombre Confetti Tumbler,google,Germantown,$157.40,16
TUM400,#6585,Pineapple Tumbler,google,Atlanta,$157.40,16
TUM600,#6732,Pink & Mint Confetti Tumbler,(direct),Austin,$157.40,16
TUM600,#7246,Mint Ombre Confetti Tumbler,google,New York,$157.40,16
TUM600,#7847,Mint Ombre Confetti Tumbler,google,Seattle,$157.40,13
BAN2800,#9047,Island Party Tassel Garland,google,Chicago,$152.10,5
DRI100,#7386,Drinking Buddies Drink Markers (6 Pack),google,South Kingstown,$146.91,10
DRI100,#8144,Drinking Buddies Drink Markers (6 Pack),google,Atlanta,$146.91,10
HAI400-PINK,#6602,I Do Crew Flower Crowns - Pink,(direct),Washington,$146.91,37
PLA800,#8763,Pink Brush Confetti Snack Plates,knoji.com,Rogers,$146.91,18
SUN400,#7448,Flamingo Sunnies,(direct),Los Angeles,$146.91,21
SUN800-PINKGREY,#7340,Retro Heart Sunnies - Light Pink (Classic Lenses),google,Charlotte,$146.91,18
BAN1200,1.18331E+11,Cheer's Y'all Banner,google,Nashville,$141.66,8
BAN1700,1.18331E+11,Miss to Mrs. Banner,google,Nashville,$141.66,8
SUN200-BT-BLA,#7554,Bride Tribe Sunnies - Bride Tribe (Black Frames),google,Minneapolis,$141.66,24
SUN200-BT-LTPINK,#7395,Bride Tribe Sunnies - Bride Tribe (Light Pink Frames),(direct),Stillwater,$141.66,24
SUN500-HTPINK,#7204,Heart Sunnies - Hot Pink,(direct),Denver,$141.66,24
SUN500-HTPINK,#7434,Heart Sunnies - Hot Pink,google,Bloomfield Township,$141.66,24
TUM400,#4077,Yay Wine! Wine Tumbler Set,google,Joliet,$141.66,8
35912562125,#1247,Bride Tribe Koozies - Black,pinterest.com,Culver City,$136.42,34
BAN400,1.18331E+11,Magnolias & Mimosas Tissue Paper Tassel Garland,google,Nashville,$136.42,5
HAI100,#7128,Bachelorette Headband Party Pack,google,New Canaan,$136.42,5
TAT400,#6650,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),google,Peachtree City,$136.42,5
TAT400,#7025,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),google,Norwalk,$136.42,5
TAT400,#8070,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),(direct),Falls Church,$136.42,5
TAT400,#8144,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),google,Atlanta,$136.42,5
TAT400,#8646,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),google,Raleigh,$136.42,5
TAT600,#3698,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),l.instagram.com,Concord,$136.42,5
TAT600,#4732,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),google,Lake Elsinore,$136.42,5
TAN500-JD-BLACK-S,#7723,Drunk in Love Tanks - Just Drunk (Black Tank) / S,google,Los Altos,$133.40,8
TAN600-JD-PINK-M,#8135,Drunk in Love Tanks - Just Drunk (Pink) / M,google,Signal Mountain,$133.40,8
BAL1800,#8386,Pink Confetti Balloon Bundle,bing,The Woodlands,$131.17,13
DRI1000,#7915,Drinking Buddies Drink Markers (12 Pack),google,Aurora,$131.17,5
DRI900,#8617,Engagement Ring Drink Floaties Set,google,Dallas,$131.17,13
TUM1300,#4145,Acrylic Confetti Wine Tumbler - Blush Ombre,google,San Jose,$131.17,13
TUM400,#6687,Pineapple Tumbler,pinterest.com,Bethesda,$131.17,13
TUM600,#7063,Pink & Mint Confetti Tumbler,google,Petaluma,$131.17,13
KOZ200-CHRS,#3582,Future Mrs. | Cheers Bitches Koozies - Cheers Bitches (Pink Koozie),google,Spokane,$129.86,26
1.24222E+13,#8062,Custom Listing for Evana Ryan,(direct),Toronto,$125.92,3
29304633421,#1098,Bride To Be Headband Veil,pinterest.com,Sartell,$125.92,3
29304633421,#1590,Bride To Be Headband Veil,www-pinterest-com.cdn.ampproject.org,Los Angeles,$125.92,3
29304633421,#1954,Bride To Be Headband Veil,(direct),Savage,$125.92,3
30177605837,#2216,Drunk in Love Stemless Wine Tumblers - Just Drunk,google,Metairie,$125.92,10
30423144589,#1883,Bride & Bride Tribe Sunnies - Bride Tribe (Black Frames),google,Durham,$125.92,21
BAL1800,#8998,Pink Confetti Balloon Bundle,google,DeWitt,$125.92,10
CUP400,#7383,Bride Tribe Party Cups (8 count),Master,Delafield,$125.92,10
CUP500,#8672,Bride's Drinking Team Party Cups (8 count),google,Dallas,$125.92,10
FTB700,#3428,Bride To Be Headband Veil,(direct),Wilmington,$125.92,3
FTB700,#3698,Bride To Be Headband Veil,l.instagram.com,Concord,$125.92,3
FTB700,#5214,Bride To Be Headband Veil,google,Dallas,$125.92,3
FTB700,#6533,Bride To Be Headband Veil,google,Miami Beach,$125.92,3
FTB700,#6543,Bride To Be Headband Veil,google,Louisville,$125.92,3
FTB700,#6655,Bride To Be Headband Veil,google,Flemington,$125.92,3
FTB700,#6670,Bride To Be Headband Veil,google,Norwood,$125.92,3
FTB700,#6732,Bride To Be Headband Veil,(direct),Austin,$125.92,3
FTB700,#6787,Bride To Be Headband Veil,google,St. Louis,$125.92,3
FTB700,#6826,Bride To Be Headband Veil,google,Jefferson City,$125.92,3
FTB700,#6847,Bride To Be Headband Veil,(direct),South Bend,$125.92,3
FTB700,#6892,Bride To Be Headband Veil,google,(not set),$125.92,3
FTB700,#7025,Bride To Be Headband Veil,google,Norwalk,$125.92,3
FTB700,#7121,Bride To Be Headband Veil,google,Plymouth Charter Township,$125.92,3
FTB700,#7128,Bride To Be Headband Veil,google,New Canaan,$125.92,3
FTB700,#7295,Bride To Be Headband Veil,google,Sandy,$125.92,3
FTB700,#7408,Bride To Be Headband Veil,google,Coeur d'Alene,$125.92,3
FTB700,#7448,Bride To Be Headband Veil,(direct),Los Angeles,$125.92,3
FTB700,#7482,Bride To Be Headband Veil,google,New York,$125.92,3
FTB700,#7521,Bride To Be Headband Veil,(direct),Washington,$125.92,3
FTB700,#7609,Bride To Be Headband Veil,google,Jersey City,$125.92,3
FTB700,#7760,Bride To Be Headband Veil,l.instagram.com,Dallas,$125.92,3
FTB700,#7781,Bride To Be Headband Veil,pinterest.com,Pleasantville,$125.92,3
FTB700,#7935,Bride To Be Headband Veil,google,Chicago,$125.92,3
FTB700,#7971,Bride To Be Headband Veil,google,Chicago,$125.92,3
FTB700,#8022,Bride To Be Headband Veil,l.instagram.com,Philadelphia,$125.92,3
FTB700,#8426,Bride To Be Headband Veil,google,Union Park,$125.92,3
FTB700,#8461,Bride To Be Headband Veil,themillennialmiss.com,Birmingham,$125.92,3
FTB700,#8509,Bride To Be Headband Veil,google,(not set),$125.92,3
GAM2400,#8180,Gold Photo Booth Backdrop,google,Augusta,$125.92,5
GAM2400,#8960,Gold Photo Booth Backdrop,google,San Juan,$125.92,5
KOZ400-JD-PINK,#7247,Drunk in Love Koozies - Neon Pink (Just Drunk),google,Charlotte,$125.92,31
KOZ500-BT-BLACK,#7701,Bride Tribe Koozies - Black (Bride Tribe),google,Santa Cruz,$125.92,31
SUN500-HTPINK,#7586,Heart Sunnies - Hot Pink,google,San Diego,$125.92,21
SUN500-WHITE,#7351,Heart Sunnies - White,google,Madison,$125.92,21
SUN800-PINKGREY,#7427,Retro Heart Sunnies - Light Pink (Classic Lenses),google,Kansas City,$125.92,16
SUN800-PINKGREY,#8554,Retro Heart Sunnies - Light Pink,(direct),New York,$125.92,16
TUM1100,#8170,Day Drinker Confetti Tumbler,l.instagram.com,Seattle,$125.92,10
TUM200,#7512,Blush Ombre Confetti Tumbler,Master,Fernie,$125.92,10
TUM600,#7512,Mint Ombre Confetti Tumbler,Master,Fernie,$125.92,10
TUM600,#8253,Mint Ombre Confetti Tumbler,google,Lewes,$125.92,10
TUM700,#8253,Pink Ombre Confetti Tumbler,google,Lewes,$125.92,10
TAN200-BEAC-L,#6531,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) / L,Master,Camrose,$120.41,5
TAN200-BEAC-M,#6531,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) / M,Master,Camrose,$120.41,5
PIN102,#5090,Bride Tribe Pins Party Pack - 15 Pack,google,Erie,$118.05,3
PIN102,#6516,Bride Tribe Pins Party Pack - 15 Pack,google,Prattville,$118.05,3
PIN102,#6517,Bride Tribe Pins Party Pack - 15 Pack,google,Los Angeles,$118.05,3
PIN102,#6629,Bride Tribe Pins Party Pack - 15 Pack,(direct),Flemington,$118.05,3
PIN102,#6813,Bachelorette Pins Party Pack - 15 Pack,google,Jefferson City,$118.05,3
PIN102,#7019,Bachelorette Pins Party Pack - 15 Pack,(direct),Yorkton,$118.05,3
PIN102,#7025,Bachelorette Pins Party Pack - 15 Pack,google,Norwalk,$118.05,3
PIN102,#7583,Bachelorette Pins Party Pack - 15 Pack,(direct),Moon,$118.05,3
PIN102,#7925,Bachelorette Pins Party Pack - 15 Pack,pinterest.com,Scranton,$118.05,3
PIN102,#8048,Bachelorette Pins Party Pack - 15 Pack,google,Fruit Cove,$118.05,3
PIN102,#8485,Bachelorette Pins Party Pack - 15 Pack,google,Royal Oak,$118.05,3
PIN102,#8508,Bachelorette Pins Party Pack - 15 Pack,google,New Orleans,$118.05,3
PIN102,1.21246E+11,Bride Tribe Pins Party Pack - 15 Pack,google,New York,$118.05,3
TUM1000,#7011,Gold Pineapple Sipper,google,San Francisco,$118.05,13
HAI100,#6513,Bachelorette Headband Party Pack,(direct),Bell,$115.43,5
HAI400-PEACH,#8753,I Do Crew Flower Crowns - Peach,(direct),Miami,$115.43,29
KOZ500-BT-BLACK,#7383,Bride Tribe Koozies - Black (Bride Tribe),Master,Delafield,$115.43,29
KOZ500-BT-BLACK,#7595,Bride Tribe Koozies - Black (Bride Tribe),l.instagram.com,Columbus,$115.43,29
KOZ600-JD-BLACK,#3770,Just Drunk Koozies - Black,google,Dillsburg,$115.43,29
TAN800-FSTR-M,#8771,Final Fiesta Tanks - Fiesta Siesta Tequila Repeat (Orange) / M,(direct),New York,$115.43,5
DRI100,#7144,Drinking Buddies Drink Markers (6 Pack),google,Dallas,$110.18,8
DRI100,#7175,Drinking Buddies Drink Markers (6 Pack),google,New York,$110.18,8
DRI100,#7338,Drinking Buddies Drink Markers (6 Pack),google,Baltimore,$110.18,8
DRI100,#7357,Drinking Buddies Drink Markers (6 Pack),l.facebook.com,Los Angeles,$110.18,8
DRI100,#8063,Drinking Buddies Drink Markers (6 Pack),google,Washington,$110.18,8
DRI100,#8494,Drinking Buddies Drink Markers (6 Pack),google,Santa Barbara,$110.18,8
DRI100,#8529,Drinking Buddies Drink Markers (6 Pack),pay.shopify.com,New York,$110.18,8
DRI100,#8590,Drinking Buddies Drink Markers (6 Pack),google,Dunn,$110.18,8
SUN200-BT-BLA,#7129,Bride Tribe Sunnies - Bride Tribe (Black Frames),google,Cambridge,$110.18,18
SUN200-BT-BLA,#7223,Bride Tribe Sunnies - Bride Tribe (Black Frames),google,Colorado Springs,$110.18,18
SUN200-BT-HTPINK,#7183,Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),google,Memphis,$110.18,18
SUN200-BT-HTPINK,#7453,Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),(direct),Stillwater,$110.18,18
SUN500-BT-BLACK,#5794,Bride & Bride Tribe Sunnies - Bride Tribe (Black Frames),google,Boston,$110.18,18
SUN500-HTPINK,#7560,Heart Sunnies - Hot Pink,google,Austin,$110.18,18
SUN500-LTPINK,#6935,Heart Sunnies - Light Pink,google,Richmond,$110.18,18
SUN500-LTPINK,#8866,Heart Sunnies - Light Pink,google,New York,$110.18,18
29304636813,#1829,Let's Flamingle Acrylic Wine Glass Set,checkout.shopify.com,Grand Prairie,$104.93,5
